sar,français
-ndèëé,filtrer
bèàyé,fille initiée
ndile,flétrir:se
hüût#,fleur; fleurir
ba,fleuve
no,"flotter, couler"
méro,foin (pour les animaux)
njà,fois
yèe,fondre
tégà,)rce
ùwà,)rger
kôdx,)rgeron
ong,"rt:être (boisson, magie)"
ndilè,uiller
gàjà,Français :
bém,"fourmi, grande : esp."
tüûr,"fourmi, petite noire : esp."
t{yo,fourmi rouge : esp. de
toy,"fourmi, rouge : esp."
mbar,fourmilier
h5p,fourreau
s11,foyer
sèl,- Langues Sara
ngo-ké,"frère, soeur"
kul,froid
nd,front
ùsi,frotter
àn,fructifier
kàn,fruit
ydW,fruit de karité
ngérû,fruit pas mur
àa,"fuir, s'enfuir"
sà,fumée
kèri,"gale, la"
ngom,garder [troupeau]
gèl,gauche
too,mir
bérà,ncives
kèjà,nou
kol,rafe
n£mà,mbo
gàl,"gourde, esp. de"
gèl,gourdin
-mbérà,goût
na,goûter
tà-kül,grâce à
-kàrà,"graillon, flegme"
ko,"grain, germes"
yàmbà,graisseux : être
bo,- Langues Sara
tôgà,grandir
kà,grandparent
nd00,gratter
k5st,grêle
moy,grenier
hëêle,griffes
bù,gros : être
gimba,guêpe maçonne
àjà,guérir; sauver
téÿ,"guetter, traquer"
tém,"gui, plante parasite"
-kEnga,iche
kùy,imeçon
dàbà,"ingar (pour l'ombre, etc.)"
mün jo,iricot
dd$,"ut, en haut"
haya,rbe : esp de
tèmbà,rbe : esp. de
mù,"herbe, paille; brousse"
ngônj,hernie
ko,héron garde-boeufs
kdÿ,hibou
-tàg£-bès,- Langues Sara
yàbà,hippopotame
kdsi,houe
yibz,huile
s5-s$,huit
bông,hyène
làa,ici
mb6d,idiot
ngüûl,igname
ngàrwày,iguane
ndéj#,imiter
dèl,icliner (pour verser)
kùr,secte
tàj#,isulter
tir,itestins
ni,ilousie entre femmes;
yim,iloux de : être
bäté,mais
j60,"jarre, canari"
m-,je
r5-nèl,"joie, félicité"
mbèr,joue
kôgE,jouer
nd5,"jour, journée"
ndènga,"jumeaux, jumelles"
mbéng,jusque
g{#là,kyste
n06,là-bas
nû,là-bas (loin)
iyà,laisser
mbà,lait
ina,"lancer, jeter"
ndo,langue
tà,"langue, langage"
là,large : être
là,large : être
tégù,laver
-ù,"le, la, lui (obj. de verbe)"
ton,cher
bänj,‘pre
k£-ràâ,quel
-d£,"ss, leur"
yaf,ane : esp. de
b31,lion
sdl,liquide de la bouillie
trré,"lit, lit de boit"
sày,loin
ngal,long : être
hîtz,- Langues Sara
dy,lourd : être
nd5-bélé,luciole
nd$le,luire; briller
na,lune
r9,"lutter, se battre; guerre"
bàrkà,machette
ûng,maigre : être
)1,main
ta,maintenant
gdy-dà,kèrfi
küûjà,maison
mdy,maladie
motà,iladie; infirmité
kul,inche
isà,inger
muf,inger (qc farineux)
ù,inger (qc mou)
ngàli,Français :
käm-dd-ra,mante religieuse
sûkx,marché
nj+ra,"marcher, se promener"
kil,margouillat
ngà,mari
à,marqueur d'interrogation
k5$,marqueur de débarrassement
à,marqueur du futur
-1,marqueur du pluriel : verbe
tf,marqueur locatif
dùû-10ÿ,matin. de bon matin
timbe,maudire
-m,me (obj. de verbe)
ki,médicament
wàs+,melon
bogù,menton
küù,mère
tèjà,el
s6-t#,"eux, être mieux"
"bügid£é, ko",1 (mot général)
-teéy,1 pénicillaire
jèr,1 sauvage
uwä,"1, esp. de."
dubü,Français :
külülu,mille-pattes
i$a,modeler
ma,moi (forme indépendant)
631,mollet
-1#,"mon, ma (oblique)"
àl,monter
d1i,- Langues Sara
àdjà,"montrer, expliquer"
dù,mordre
"kôy, yo",mort
yù,mort; sorcerie
bir,mortier
kéng,mouche
mbol,mouillé : être
0y,mourir
hülü,mousse
yfl,moustique
bàt#,mouton
25,mûr : être
gût60o,n'exister pas
àl,iger
ràgà,itte : sorte de
wàa,itte : sorte de
10,> faut pas
ndohé,uf (9)
kén,Z
nej#,er
kirè,eud
ndûl,noir :être
gérd,noix kola
r1,nom
bilà,"nombreux, être"
küm,nombril
yéà-kèsà,- Langues Sara
"jà-, j-",| [nous (nom.)
)-,nous (nom.)
-jf,nous (obj. de verbe)
-ji,"nous (oblique); notre, nos"
kijà,"nouveau, neuf"
gumbtru,noyau
il,"nuageux, noir : être"
go,nuque
sé,odeur nauséabond
kèm,oeil
kà,oeufs
ndija,oignon sauvage ‘esp. de
yèl,oiseau
j)ümbu,oiseau : drongo
ndfi,ombre; esprit
nan,OS
kèt-gidi-kégt,Kul=ddgà-jà-hàré
mb1,eille
kingo,phelin
yir,seille
rà,Français :
gèrè,outil pour graver
wôy,ouvert
tèe,ouvrir
häÿ,pagaie
nel,pagayer
mâapà,pain
jäng,"panier, sorte de"
njala,pantalons
kàgà,panthère
maktuüub#,papier; livre
bèl-béi,papillon
todo,parce que
titz,pareil : être
"gir-kdji,ngè","parents, famille"
yày,paresse
nàj+,parole
keng,partager
àf,"pas, ne ... pas"
gire,passer sur le feu
bangàw,pe
ndo0o,iuvreté
iga,yer
ng#ra,au
ndaf,"‘au, cuir"
"név,",cheur
nglya,peler
ûn,pénétrer dans l'eau
kèrwèy,perdrix
bôbE,père
mèd,perles
dèe,personne
ndoÿ,personne avec le même nom
duû,- Langues Sara
séy,"peu, un peu"
bôr,phacochère
njà,"pied, jambe"
gqum,piège
wor,pièrre de divination
dér,"pigeon, tourterelle"
ùr,piler
sdb#,piler (pour enlever le son)
gdy,pilon
kâra,piment
ùgà,"pincer, gratter"
tànjà,pintade
gdl-mâang,pipe
dsi,piquer
too,pirogue
bông,"ace de, traces de"
kà,acenta
dù,"aie, blessure"
nèl,aire
bàr,"anche, bois plat"
no,eurer
man,uie
bèl,plume
bil,poil
wûl,pois de terre
kông,poison
kaän)j+,poisson
kèsèng,poisson : capitaine
ngànjà,poitrine
mbèr,pomme cannelle
go-mindi,| pomme d'Adam
ndéà,pont
mbinjà,porc-épic
tà-küûjz,porte
"dto,9y",porter
00,porter [habits]
inda,poser à plat
nd#na,"poser, incliner contre"
dirà,poteau tri fourchu
ng£sa,pou
knjà,poulet
ya,ur que
ki-ndanñng,ur rien
nàj#,ur; à cause de
tam-ri,urquoi
ndûm,urri : être
bümbür,Français :
tàgà-dà,"premier, d'abord"
tàa,prendre
ûn,prendre
t4,préparer la bouillie
isà,presser avec doigts
tzna,"prêter, emprunter"
gat#,prix
"tàa,nàj#",problème
ngdr,proche
lüûu,"profond, être"
bül,profondeur
nûn,proposer
ngè,propriétaire
küwà,propriétaire
ddi,puiser
bil1dô-màñ,puits
w1y,pus
màam,python
"dàn-n,1ù-nñ",quand
réngéy-t# Cu,quand?
s re,quatre
kàdz,"que, pour que"
ù,"que, qui"
n,"le, qui, ce que, ce qui"
ri,"1e, quoi"
gèdè,"iémander, solliciter (don)"
k:lé,eue
néa,"ii, que"
ngirà,icines
dy,"ramasser, prendre"
àgà,ramper (un enfant)
àl,ramper (une plante)
bàz,rancune
ngèsa,"raser, se"
yingä,rasoir
ndan,"rassasié, être"
kéñ,- Langues Sara
yégE,"rat, souris"
nàl,1 | rater; manquer
ndàâj#,redresser
gir,\ | réfléchir
mbaté,refuser
rdsi,remplir
ndod#,rencontrer
t+ba,renvoyer; chasser
dtà,répandre une odeur
ndigi,‘pondre
k1yä,:sidu
kdo,spiration; repos; souffle
này,2ster
sée,tailler
ndél,"veiller, se réveiller"
téi,Français :
n1,rêver; rêve
bèn,rhinocéros
kàrli,rien; vide; normale
sèk+E,rincer
"kègo,dgo",rire
màr,| | rônier
tàl,rosée
g+)jà,". | roter, éructer"
kire,rouge : être
r6bi,"route, chemin"
h6ro,ruche
ngà,rugueux : être
näng,sable
ngàr se,sable
ngông sa,sac
ningà,"sagaie, lance"
ihà,"saisir, prendre"
bèàr,saison pluvieuse
bal,saison seche
yoré,ileté
h6r,"live, crachat"
mosà,ing
tend*,ingsue
kànj,ins
téà,Français :
bàl,saut
gàw,sauterelle
gèr,"savoir, connaître"
kék£ràng,scorpion
tûti,sec : être
ày,sec : être (en surface)
ndô0g#,- Langues Sara
yée,secouer
mbà,sein
kàt#,sel
jingà,semoule
gang,separer
s1rf,sept
11,serpent
ndùbà,"serpent, esp. de"
két,sésame
kér,"seul, tout seul"
ngoÿ,seulement
ké,si
ndèl,lure : esp. de
Bètz,.nge
ùmb#,-roter
mèhé,.X
kèinda,if
1d-sd1-i,ir
mbàng,soleil
til,"sombre, nuit"
bèina,son de mil
-ù,"son, sa"
kèma,sorcier
gdjà,- Langues Sara
b+rde,souche
gir,"sous, dessous"
gèr,spatule en bois
kùjà,stérilité
njfb#z,sucer
il,sucer (enfant)
lündz,sucré : être
tôto,sueur; suer
dù,"sur, dans"
m4éùg,tabac
komberé,€
màs#t,imarinier
kôdi,imbour
gängä,"imbour, grand"
tème,Français :
sàn-ndii,tamis : sorte de
s1ya,tamiser
bèn,tante paternelle
gér,tapioca blanc
ii,tarir
dub#,tas
-1,te (acc. s.)
wa,termite ailé
yo,termite blanc
nàng,"terre, sol"
dd-nàng,terre; territoire
ndèm,testicules
dà,tête
kaäst,tibia
kàl,tige
miyà,tique
nd6r,tirer
dônd5,toile d'araignée
dd-B4ai,tombe
ds0o,mber
t£so,mber (en groupe)
èdi,mber (pluie)
ùr,mber par terre
-i,"on, ta; toi"
ngèl,>rche de paille
rûgi,rdre; être courbé
ndur,>rdu : être
mÈè,Français :
ngéi,tortue : esp. de
ddè,toucher
kè-nd5-g9#,"toujours, souvent"
màalàng,tous
késx,tousser
gôtà,trace de
àtà,tranchant : être
kèlà,travail
g£là,traverser
man,"traverser, passer"
ndèbà,trembler
num,tremper
kûti-mitä,trente
sét#,tresser
0j0,tresser (le secco)
mitä,trois
bd1d,trou
ndoryo,ou dans termitière
mbûtà,"jouer; percé, être"
ingà,-ouver
1-,1; vous
t51,ler
kégrn,Français :
ngéd£f-màn,urine
ngir,vagin
kèe,"van, panier pour vanner"
nj4,"vanter, se"
bür,varan
igi,vendre
rèe,venir
i,venir de; se lever
néi,vent
kèm,ventre
môtà,"verge, pénis"
ndus+,vermoulu : être
k#,vers
b5k#,verser
b5ké,verser
njèr,verser en laissant residues
kuüub+,vêtement
da,viande
bégà,vieillard
b£gà,eux
6e,llage
küti-j06,ngt
gùÿ,siter
ndil,"_squeux, gluante"
läy,te
à,ir
mèadr-be,Kul=ni-dàrüu
ndu,voix
Bègi,voler
tomb#,vomir
gÈèy,vouloir
-si,üù | vous (acc.)
-si,vous (oblique); votre
mba,"voyage; hôte, invité"
ndii,"youyou, faire"
