source_lang,source_word,target_lang,target_word
French,abri dans un champ,Laka,kéy-1ù
French,abri dans un champ,Mango,kéy-10
French,abri dans un champ,Ngambay,k$y-1èb
French,absence de,Bebote,t6
French,absence de,Bediondo,t6
French,absence de,Gor,tôr
French,absence de,Gulay,gùtù
French,absence de,Kaba,tuür
French,absence de,Laka,téro
French,absence de,Mbay,gét£
French,absence de,Mango,gètà
French,absence de,Nar,gôti
French,absence de,Ngambay,tôr
French,absence de,Sar,gût;
French,accompagner,Bebote,dan
French,accompagner,Bediondo,dan
French,accompagner,Daba,dan
French,accompagner,Gor,dän
French,accompagner,Gulay,dän
French,accompagner,Kaba_Na,däna
French,accompagner,Kaba,dan
French,accompagner,Laka,dan
French,accompagner,Mbay,dan
French,accompagner,Mango,dän
French,accompagner,Nar,dan
French,accompagner,Ngambay,dan
French,accompagner,Sar,dan
French,accompagner,Ngam,dan
French,acide : être,Bebote,màs#
French,acide : être,Bediondo,màs+
French,acide : être,Daba,màs
French,acide : être,Gor,màs+
French,acide : être,Gulay,màs+
French,acide : être,Kaba_Na,k41a
French,acide : être,Kaba,màs#
French,acide : être,Laka,màs#
French,acide : être,Mango,màs+
French,acide : être,Nar,màsx : Ng9T-s£ma
French,acide : être,Ngambay,màs#
French,acide : être,Sar,màs#t
French,activer (feu),Bebote,ibà
French,activer (feu),Bediondo,ibà
French,activer (feu),Daba,ib
French,activer (feu),Gulay,ibà
French,activer (feu),Laka,pèr : Mh=ibà
French,activer (feu),Mango,ibà
French,activer (feu),Nar,tübz
French,activer (feu),Ngambay,ibi
French,activer (feu),Sar,sètà
French,acheter,Bebote,ndog#
French,acheter,Bediondo,ndog#
French,acheter,Daba,nj1g0
French,acheter,Gor,ndog*
French,acheter,Gulay,ndogo
French,acheter,Kaba_Na,ùbo
French,acheter,Kaba,ndoko
French,acheter,Laka,ndogo
French,acheter,Mbay,nd#go
French,acheter,Mango,ndog#
French,acheter,Nar,màng
French,acheter,Ngambay,ndogo
French,acheter,Sar,màang
French,acheter,Ngam,nd+go
French,adorer; honorer,Bebote,t5jx
French,adorer; honorer,Bediondo,t5jx
French,adorer; honorer,Gulay,d3y
French,adorer; honorer,Laka,"polo,"
French,adorer; honorer,Mbay,ndüb
French,adorer; honorer,Nar,ndübx
French,"aigre, acide : être",Gulay,ùdù
French,"aigre, acide : être",Laka,ùru
French,"aigre, acide : être",Mbay,idè
French,aiguille,Bebote,léwri
French,aiguille,Bediondo,n$b£li
French,aiguille,Gor,ibérii
French,aiguille,Gulay,libéri
French,aiguille,Kaba_Na,nibiri
French,aiguille,Laka,11b1
French,aiguille,Mbay,1fbèr
French,aiguille,Mango,1ibri
French,aiguille,Nar,libèr
French,aiguille,Ngambay,1fbèri
French,aiguille,Sar,libèr
French,"aiguiser, affûter",Bebote,ÿ1
French,"aiguiser, affûter",Bediondo,1
French,"aiguiser, affûter",Daba,t#1
French,"aiguiser, affûter",Gor,d1
French,"aiguiser, affûter",Gulay,dl
French,"aiguiser, affûter",Kaba_Na,È1E
French,"aiguiser, affûter",Kaba,31
French,"aiguiser, affûter",Laka,31
French,"aiguiser, affûter",Mbay,31
French,"aiguiser, affûter",Mango,31
French,"aiguiser, affûter",Nar,31
French,"aiguiser, affûter",Ngambay,à1l
French,"aiguiser, affûter",Sar,dl
French,aimer,Gulay,tär
French,aimer,Kaba_Na,nàw
French,aimer,Laka,njigi
French,aimer,Mbay,tàâr:Nar-tär
French,aimer,Sar,tàr
French,ainé de famille,Bebote,dèr
French,ainé de famille,Bediondo,dèr
French,ainé de famille,Daba,dèr
French,ainé de famille,Gor,dèr
French,ainé de famille,Gulay,dèr
French,ainé de famille,Kaba_Na,ni-kÔ0
French,ainé de famille,Kaba,dèr
French,ainé de famille,Laka,dèr
French,ainé de famille,Mango,dèr
French,ainé de famille,Nar,häâg#
French,ainé de famille,Ngambay,dèr
French,ainé de famille,Sar,hàgà
French,"ainsi, comme ça; seulement",Bebote,bè
French,"ainsi, comme ça; seulement",Bediondo,bè
French,"ainsi, comme ça; seulement",Gor,bàa
French,"ainsi, comme ça; seulement",Gulay,bè
French,"ainsi, comme ça; seulement",Mango,bè
French,"ainsi, comme ça; seulement",Nar,bèé
French,"ainsi, comme ça; seulement",Ngambay,bè
French,"ainsi, comme ça; seulement",Sar,bèe
French,aisselle,Bebote,màti-k$1
French,aisselle,Bediondo,"mà,s#1l"
French,aisselle,Daba,s$1
French,aisselle,Gor,màaksy
French,aisselle,Gulay,gir-s$l
French,aisselle,Kaba_Na,mÔto-kaäm
French,aisselle,Kaba,mÔti-s$l
French,aisselle,Laka,-modi-s$]
French,aisselle,Mbay,màsé1
French,aisselle,Mango,màasél
French,aisselle,Nar,mbè-s61
French,aisselle,Ngambay,mà-s$61
French,aisselle,Sar,g{ir-s6]
French,aisselle,Ngam,ki1
French,"alors, ainsi",Bebote,dé
French,"alors, ainsi",Bediondo,è
French,"alors, ainsi",Daba,à
French,"alors, ainsi",Gor,bè-4y£
French,"alors, ainsi",Gulay,béà
French,"alors, ainsi",Kaba,à
French,"alors, ainsi",Laka,"däà, némà : Mhb=àne"
French,"alors, ainsi",Mango,"hél, $6:Nar-béà"
French,"alors, ainsi",Ngambay,ndéà
French,"alors, ainsi",Sar,à
French,"alors, ainsi",Ngam,àn1
French,aller,Bebote,à
French,aller,Bediondo,àw : Do=àw
French,aller,Gor,àN
French,aller,Gulay,àw
French,aller,Kaba_Na,àbe
French,aller,Kaba,àÿ : Kul=àBe
French,aller,Laka,àw
French,aller,Mbay,àÿ
French,aller,Mango,dù
French,aller,Nar,àw
French,aller,Ngambay,àw
French,aller,Sar,àw
French,aller,Ngam,àw
French,amer : être,Bebote,àt#
French,amer : être,Bediondo,àt#
French,amer : être,Daba,àt
French,amer : être,Gor,àt#
French,amer : être,Gulay,àt#
French,amer : être,Kaba_Na,kâta
French,amer : être,Kaba,àt#
French,amer : être,Laka,àd#
French,amer : être,Mbay,àt#
French,amer : être,Mango,àt#
French,amer : être,Nar,àt#
French,amer : être,Ngambay,àd#
French,amer : être,Sar,àtt
French,amer : être,Ngam,-kât#
French,ami,Bebote,màd# : Do=mad
French,ami,Gor,màad
French,ami,Gulay,màad#
French,ami,Laka,njè-küra
French,ami,Mango,màd#
French,ami,Ngambay,küraä-mar
French,ami,Sar,màadx
French,ampoule,Bebote,p61e
French,ampoule,Bediondo,péle
French,ampoule,Gor,pôle
French,ampoule,Gulay,péle
French,ampoule,Kaba,péle
French,ampoule,Laka,p610
French,ampoule,Mbay,hf1e
French,ampoule,Mango,p6le
French,ampoule,Nar,h610
French,ampoule,Ngambay,péle
French,ampoule,Sar,h61o
French,ampoule,Ngam,hi1le
French,Le,Bebote,koôro
French,Le,Bediondo,kôro
French,Le,Daba,kèd®©
French,Le,Gor,kdroro
French,Le,Gulay,kdro
French,Le,Kaba,kôroro
French,Le,Laka,kôroro
French,Le,Mango,kôro
French,Le,Nar,kdro
French,Le,Ngambay,kôroro
French,Le,Sar,kdro
French,Le,Ngam,kôro
French,iguille,Bediondo,tum
French,iguille,Gor,tum
French,iguille,Laka,tum
French,iguille,Mbay,tüm
French,iguille,Ngambay,tum
French,imal,Bebote,da
French,imal,Bediondo,da
French,imal,Daba,da
French,imal,Gor,da
French,imal,Gulay,da
French,imal,Kaba_Na,)a
French,imal,Kaba,da : Kul=)a
French,imal,Mbay,daa
French,imal,Mango,da
French,imal,Nar,da
French,imal,Ngambay,da
French,imal,Sar,da
French,imal,Ngam,da
French,"ineau, bracelet",Bebote,£-nEngé
French,"ineau, bracelet",Bediondo,ningé
French,"ineau, bracelet",Gor,$£-n$ngs
French,"ineau, bracelet",Gulay,ningé
French,"ineau, bracelet",Kaba,£-ningäà
French,"ineau, bracelet",Laka,£-ningä
French,"ineau, bracelet",Mbay,ningäà
French,"ineau, bracelet",Mango,$f-nfings
French,"ineau, bracelet",Nar,n#ngé
French,"ineau, bracelet",Ngambay,ningä
French,"ineau, bracelet",Sar,nængâ
French,née,Bebote,6a1l : Ba=6al
French,née,Gor,Bal
French,née,Gulay,bäl
French,née,Kaba_Na,-Bala
French,née,Kaba,Bal : Kul=Bala
French,née,Laka,bal
French,née,Mbay,Ba1
French,née,Mango,6äl
French,née,Nar,bal
French,née,Ngambay,bal
French,née,Sar,Bal
French,née,Ngam,B6al
French,née : cette,Bebote,bäÿ-nè
French,née : cette,Bediondo,k5ÿ-nè
French,née : cette,Gulay,kôn1i-1là
French,née : cette,Kaba,w$él-nènñ
French,née : cette,Laka,w5 {-nè
French,née : cette,Mbay,"kôn1i-nè8,kôn1i-nèe"
French,née : cette,Mango,ko Î-nè
French,née : cette,Nar,k5ni-làa
French,née : cette,Ngambay,w3 Î-nè
French,née : cette,Sar,kôn-làa
French,née : cette,Ngam,kèni-1à
French,"née, passée : le",Bebote,kà Î-nè
French,"née, passée : le",Bediondo,kà Î-nè
French,"née, passée : le",Gor,$ali:Gu-kài
French,"née, passée : le",Kaba,ké1-nè
French,"née, passée : le",Laka,kà Î-nè
French,"née, passée : le",Mbay,kàlèe
French,"née, passée : le",Mango,ka Î-nè
French,"née, passée : le",Nar,kà Î-beé
French,NoT=-bal-àa-béè,Ngambay,kà Î-nè
French,NoT=-bal-àa-béè,Sar,kàf-Be
French,annonce publique,Bebote,mbe
French,annonce publique,Bediondo,mbe
French,annonce publique,Daba,mber
French,annonce publique,Gor,mbs r
French,annonce publique,Gulay,mbs
French,annonce publique,Kaba_Na,mbe
French,annonce publique,Kaba,mbsr
French,annonce publique,Laka,mbs r+
French,annonce publique,Mango,mbe
French,annonce publique,Nar,mber
French,annonce publique,Ngambay,mber
French,annonce publique,Sar,mber
French,antilope : espèce de,Bediondo,mbüûr
French,antilope : espèce de,Gulay,mbür
French,antilope : espèce de,Kaba_Na,mbii
French,antilope : espèce de,Laka,mbür
French,antilope : espèce de,Mbay,mbür
French,antilope : espèce de,Mango,mbür
French,antilope : espèce de,Ngambay,mbür
French,antilope (cob de Buffon),Bediondo,kaäal
French,antilope (cob de Buffon),Gulay,kal
French,antilope (cob de Buffon),Laka,kal
French,antilope (cob de Buffon),Mbay,kal
French,antilope (cob de Buffon),Mango,Kkäl
French,antilope (cob de Buffon),Nar,kal
French,antilope (cob de Buffon),Ngambay,kal
French,antilope (cob de Buffon),Sar,kal
French,antilope (guib harnaché),Bediondo,tèbà
French,antilope (guib harnaché),Kaba_Na,t66c
French,antilope (guib harnaché),Mbay,tôw
French,antilope (guib harnaché),Mango,tôbà
French,antilope (guib harnaché),Ngambay,"tèbt, tobi"
French,antilope (guib harnaché),Sar,tôw
French,antilope cheval,Bebote,nàs#
French,antilope cheval,Bediondo,nàst
French,antilope cheval,Daba,nàs
French,antilope cheval,Gor,nàs#
French,antilope cheval,Gulay,nàst
French,antilope cheval,Kaba_Na,nàse
French,antilope cheval,Kaba,nàs+
French,antilope cheval,Laka,nàs#
French,antilope cheval,Mango,nàs+
French,antilope cheval,Nar,nàs#
French,antilope cheval,Ngambay,nàs#
French,antilope cheval,Sar,nàs+
French,antilope cheval,Ngam,nàs+
French,"antilope, bubale",Bediondo,kàyà
French,"antilope, bubale",Kaba_Na,kà
French,"antilope, bubale",Mbay,kày
French,"antilope, bubale",Ngambay,kàyà
French,"antilope, bubale",Ngam,kày
French,"antilope, eland de Derby",Bediondo,1lüûm
French,"antilope, eland de Derby",Kaba_Na,ngénè
French,"antilope, eland de Derby",Laka,$-1üûlüm
French,"antilope, eland de Derby",Mbay,dûdz
French,"antilope, eland de Derby",Ngambay,lüûm
French,appeler,Bebote,bär
French,appeler,Bediondo,ba
French,appeler,Daba,k5r
French,appeler,Gor,bar
French,appeler,Gulay,bär
French,appeler,Kaba_Na,njàm.
French,appeler,Kaba,bär
French,appeler,Laka,Bär
French,appeler,Mbay,k$r
French,appeler,Mango,Ba
French,appeler,Nar,Bär : NaT=k$r
French,appeler,Ngambay,baär : Sr-bar
French,"appeller, nommer",Bebote,pi
French,"appeller, nommer",Gor,bar
French,"appeller, nommer",Gulay,bar
French,"appeller, nommer",Laka,Bär
French,"appeller, nommer",Mbay,kün
French,"appeller, nommer",Mango,"sdbr-dd, Baä:Nar-bar"
French,"appeller, nommer",Ngambay,bär
French,appuyer,Mbay,get#
French,appuyer,Mango,gSt#
French,appuyer,Sar,get#
French,après,Bebote,go
French,après,Bediondo,go
French,après,Gulay,go
French,après,Kaba,go
French,après,Laka,go : Mh=go
French,après,Mango,go
French,après,Nar,go : Ng3T=g90
French,après,Ngambay,go
French,après,Sar,go
French,arachide,Bebote,£$-géji
French,arachide,Bediondo,$-gàjà
French,arachide,Gor,géji
French,arachide,Gulay,kàbri
French,arachide,Kaba_Na,w61l1-gùrû
French,arachide,Kaba,wüluüubü : Kul=wült
French,arachide,Laka,übü
French,arachide,Mango,kàb1
French,arachide,Nar,wû-dùm
French,arachide,Ngambay,bül-ùbü
French,arachide,Sar,wû-dûm
French,araignée,Bebote,küü-ngà-gangxra
French,araignée,Bediondo,f-ngàti-Pe-gàna
French,araignée,Gor,künga-g4ya
French,araignée,Gulay,güm-dSgär
French,araignée,Kaba_Na,ki-bàsüû
French,araignée,Kaba,$i-gamtàgar
French,araignée,Laka,$-gàfmàga : Mh=sûu
French,araignée,Mango,gâämà-gama
French,araignée,Nar,k£-ngaréngàng
French,araignée,Ngambay,gâmagar
French,araignée,Sar,sûu
French,araignée,Ngam,"sû-k£-ngon-kùr,süû"
French,arbre,Bebote,kagt
French,arbre,Bediondo,kagx
French,arbre,Gor,kaäg+
French,arbre,Gulay,kagx
French,arbre,Kaba_Na,KkägA
French,arbre,Kaba,KkAkE
French,arbre,Laka,kagz
French,arbre,Mbay,Kkäg+
French,arbre,Mango,käg#
French,arbre,Nar,Kkaäg+ :N9gT-kaäg+
French,arbre,Ngambay,Kkäg+
French,arbre,Sar,kaäg+
French,arbre : esp. de,Bebote,y1ds
French,arbre : esp. de,Daba,y1d5
French,arbre : esp. de,Gulay,y1ids
French,arbre : esp. de,Kaba,yira
French,arbre : esp. de,Laka,£$-vyira
French,arbre : esp. de,Mbay,yida
French,arbre : esp. de,Mango,y1ids
French,arbre : esp. de,Ngambay,"dira,yira"
French,arbre : esp. de,Sar,y+da
French,arbre : esp. de,Daba,Bits
French,arbre : esp. de,Gulay,Bitè
French,arbre : esp. de,Kaba_Na,Pùtà
French,arbre : esp. de,Kaba,Bitày
French,arbre : esp. de,Laka,Pidà : M=bità
French,arbre : esp. de,Mango,ngé
French,arbre : esp. de,Nar,bÈitè
French,arbre : esp. de,Ngambay,Biaà
French,arbre : esp. de,Sar,bità
French,arbre : esp. de,Bediondo,ké-KkägE
French,arbre : esp. de,Gulay,kém-kaägE
French,arbre : esp. de,Laka,kém
French,arbre : esp. de,Mango,kéMm
French,arbre : esp. de,Ngambay,k$m
French,arbre : esp. de,Bediondo,dä-k3
French,arbre : esp. de,Mango,däa
French,arbre : esp. de,Sar,da
French,arbre : esp. de,Bediondo,jangx
French,arbre : esp. de,Mbay,jan)jz
French,arbre : esp. de,Mango,)aäng
French,arbre : esp. de,Nar,jond#
French,arbre : esp. de,Ngambay,dângé
French,arbre : esp. de,Sar,j)5nd#
French,arbre : esp. de,Bediondo,kdbà
French,arbre : esp. de,Gulay,kèbà
French,arbre : esp. de,Kaba_Na,KÔBS
French,arbre : esp. de,Laka,kèbÈ : Mh=kôvw
French,arbre : esp. de,Mango,kdbà
French,arbre : esp. de,Ngambay,kÔbà
French,arbre : esp. de,Sar,kdw
French,arbre : néré,Bebote,mat#
French,arbre : néré,Bediondo,matz
French,arbre : néré,Gor,mat+
French,arbre : néré,Gulay,mat#
French,arbre : néré,Kaba_Na,mato
French,arbre : néré,Kaba,mat+
French,arbre : néré,Laka,mad#
French,arbre : néré,Mango,mat#
French,arbre : néré,Nar,mat+:NgT-mat#
French,arbre : néré,Ngambay,madx#
French,arbre : néré,Sar,mat+
French,arbre de karité,Bebote,s1ys
French,arbre de karité,Bediondo,s+ys
French,arbre de karité,Gor,s1lys
French,arbre de karité,Gulay,Kkiys
French,arbre de karité,Kaba_Na,KI no
French,arbre de karité,Kaba,£-d5ÿ
French,arbre de karité,Laka,£-d5 ÿ
French,arbre de karité,Mbay,KI ya
French,arbre de karité,Mango,s0yo
French,arbre de karité,Nar,Kk1ys
French,arbre de karité,Ngambay,d5 ÿ
French,arbre de karité,Sar,k1ya
French,arbre de karité,Ngam,Kk1yo
French,"arbre, esp. [Vitex doniana]",Bediondo,màlè
French,"arbre, esp. [Vitex doniana]",Laka,màak5r
French,"arbre, esp. [Vitex doniana]",Ngambay,mà-kSr
French,arbre : cailcédrat,Bebote,d11
French,arbre : cailcédrat,Bediondo,d#l
French,arbre : cailcédrat,Daba,j11
French,arbre : cailcédrat,Gor,dil
French,arbre : cailcédrat,Gulay,dil
French,arbre : cailcédrat,Kaba_Na,B615
French,arbre : cailcédrat,Kaba,mb5ké : Kul=6515
French,arbre : cailcédrat,Laka,mbàg#
French,arbre : cailcédrat,Mango,d1l
French,arbre : cailcédrat,Nar,d11l
French,arbre : cailcédrat,Ngambay,mbàg#
French,arbre : cailcédrat,Sar,d1l
French,arbre : cailcédrat,Ngam,-d1l
French,arbre : esp. de,Bediondo,koy-kagx
French,arbre : esp. de,Mbay,bèûto-tàw
French,arbre : esp. de,Mango,kägr-kèm-k0
French,arbre : esp. de,Nar,mondo
French,arbre : esp. de,Ngambay,käm-ndà-bina
French,arbre : esp. de,Sar,"k£-t5-küm,ndobé"
French,bre : kapokier,Bebote,Kkürs -süu
French,bre : kapokier,Bediondo,küns
French,bre : kapokier,Gor,kürs
French,bre : kapokier,Gulay,kurs
French,bre : kapokier,Kaba,Kküra
French,bre : kapokier,Laka,kura
French,bre : kapokier,Mbay,k£ra
French,bre : kapokier,Mango,küns
French,bre : kapokier,Nar,kÆrs
French,bre : kapokier,Ngambay,küra
French,bre : kapokier,Sar,krra
French,bre : kapokier,Ngam,kzra
French,bre : palmier doum,Bebote,$-gariya
French,bre : palmier doum,Bediondo,$-gàrära : Gor-=gâr1ya
French,bre : palmier doum,Gulay,gariya
French,bre : palmier doum,Laka,$i-gariya
French,bre : palmier doum,Mbay,gäây
French,bre : palmier doum,Mango,"tàn,gär1iya"
French,bre : palmier doum,Nar,gây
French,bre : palmier doum,Ngambay,gàÿra : Sr-gèr
French,buste : esp. de,Gulay,tà : Mh=jinga
French,buste : esp. de,Mango,k£-né-je
French,buste : esp. de,Nar,jèngs
French,buste : esp. de,Bediondo,£-mongé
French,buste : esp. de,Gulay,mongiyo
French,buste : esp. de,Mbay,k£-mong
French,buste : esp. de,Mango,$£-mongx
French,buste : esp. de,Ngambay,käm-mong
French,buste : esp. de,Sar,mung
French,buste : esp. de,Bediondo,gûm
French,buste : esp. de,Laka,gém
French,buste : esp. de,Mbay,güm
French,buste : esp. de,Nar,g6m
French,buste épineux : esp. de,Bebote,ngàa
French,buste épineux : esp. de,Bediondo,ngàa
French,buste épineux : esp. de,Gor,ngàn
French,buste épineux : esp. de,Gulay,ngàr
French,buste épineux : esp. de,Kaba,ngàr
French,buste épineux : esp. de,Laka,ngàr
French,buste épineux : esp. de,Mbay,ngàr
French,buste épineux : esp. de,Mango,ngàa
French,buste épineux : esp. de,Nar,ngar
French,buste épineux : esp. de,Ngambay,ngàr
French,buste épineux : esp. de,Sar,ngàr
French,buste; feuille,Bebote,käm
French,buste; feuille,Bediondo,käm
French,buste; feuille,Daba,käm
French,buste; feuille,Gor,käâm
French,buste; feuille,Gulay,käâm
French,buste; feuille,Kaba_Na,kämbà
French,buste; feuille,Kaba,käm : Kul=hämvà
French,buste; feuille,Laka,käm
French,buste; feuille,Mbay,käm
French,buste; feuille,Mango,käm
French,buste; feuille,Nar,käm
French,buste; feuille,Ngambay,käm
French,buste; feuille,Sar,kämbi
French,buste; feuille,Ngam,kämbé
French,-c et flèche,Bebote,kénd#rs
French,-c et flèche,Bediondo,kündèirü
French,-c et flèche,Gor,kSénd#rs
French,-c et flèche,Gulay,mbändäng
French,-c et flèche,Kaba_Na,Bùlè
French,-c et flèche,Kaba,kéndoro
French,-c et flèche,Laka,kéndoré
French,-c et flèche,Mbay,kèra
French,-c et flèche,Mango,mandäng
French,-c et flèche,Nar,g#rs
French,-c et flèche,Ngambay,bäéndäng
French,-c et flèche,Sar,-gèra
French,arc-en-ciel,Bediondo,ngà-b+rs-nd1
French,arc-en-ciel,Gulay,k£-münds -Ba
French,arc-en-ciel,Kaba_Na,kSmbe
French,arc-en-ciel,Laka,ngàw-büra-nj1
French,arc-en-ciel,Mbay,k£-dos£-bzra
French,arc-en-ciel,Nar,ngè-b+r5-nd1
French,arc-en-ciel,Ngambay,ngàw-büra-ndi
French,argent,Bediondo,güsù : Do=pâtà
French,argent,Gor,nàr
French,argent,Gulay,nàr
French,argent,Kaba_Na,mälè
French,argent,Kaba,nàrè
French,argent,Laka,làr
French,argent,Mango,là
French,argent,Nar,"güûsè,nàr"
French,argent,Ngambay,gûsù
French,argent,Sar,gürsà
French,argile noir,Bebote,ân)+
French,argile noir,Bediondo,wân)jx
French,argile noir,Gor,hänj+
French,argile noir,Gulay,änj+
French,argile noir,Kaba_Na,kéngè
French,argile noir,Kaba,änj1
French,argile noir,Laka,én)j1
French,argile noir,Mbay,hänjé
French,argile noir,Mango,än;
French,argile noir,Nar,bôr-6
French,argile noir,Ngambay,énj1
French,argile noir,Sar,länjà
French,argile rouge,Bediondo,nèibè
French,argile rouge,Gulay,nibè
French,argile rouge,Kaba_Na,Kkf yà
French,argile rouge,Laka,1ibà
French,argile rouge,Mbay,nd+bà
French,argile rouge,Nar,nd+bè
French,argile rouge,Ngambay,1ibà
French,argile rouge,Ngam,ndibà
French,arracher,Gulay,büngs : Mh=Bingä
French,arracher,Mango,büngs
French,arracher,Sar,brnga
French,"arrêter, s'arrêter",Bebote,d3-bü
French,"arrêter, s'arrêter",Daba,dübà
French,"arrêter, s'arrêter",Mbay,dibà
French,"arrêter, s'arrêter",Nar,d+bè
French,"arrêter, s'arrêter",Sar,dibà
French,"arrêter, s'arrêter",Ngam,d+bà
French,arriver,Bebote,tèe
French,arriver,Gulay,dèe
French,arriver,Kaba_Na,kâà
French,arriver,Kaba,tèe
French,arriver,Mango,tèé
French,arriver,Sar,Ôtz
French,artiste,Bediondo,gos# : Gor-gost
French,artiste,Gulay,gosx
French,artiste,Kaba_Na,kÔde
French,artiste,Kaba,gos#
French,artiste,Laka,-qusüu
French,artiste,Mbay,gos#
French,artiste,Mango,gos#
French,artiste,Ngambay,gos0o
French,artiste,Sar,gosxE
French,"asseoir, se",Bebote,si
French,"asseoir, se",Bediondo,Èist
French,"asseoir, se",Daba,inji
French,"asseoir, se",Gor,si
French,"asseoir, se",Gulay,ndi
French,"asseoir, se",Kaba_Na,injt
French,"asseoir, se",Kaba,isi
French,"asseoir, se",Laka,isi
French,"asseoir, se",Mbay,ndi
French,- Langues Sara,Mango,isà
French,- Langues Sara,Nar,ndi
French,- Langues Sara,Ngambay,isi
French,- Langues Sara,Sar,ndi
French,- Langues Sara,Ngam,ndà
French,|'assez: être; suffire,Bebote,àsà
French,|'assez: être; suffire,Bediondo,àsi
French,|'assez: être; suffire,Daba,às
French,|'assez: être; suffire,Gor,àsà
French,|'assez: être; suffire,Gulay,àsi:KbN-àsà
French,|'assez: être; suffire,Kaba,àsE : Kul=àsà
French,|'assez: être; suffire,Laka,àsi
French,|'assez: être; suffire,Mbay,às
French,|'assez: être; suffire,Mango,àsà:Nar-àsà
French,|'assez: être; suffire,Ngambay,àsi
French,|'assez: être; suffire,Sar,-àsà
French,|'assez: être; suffire,Ngam,àsi
French,asticot,Bebote,kodè
French,asticot,Kaba_Na,kùjè
French,asticot,Laka,kôrè
French,asticot,Mbay,kidè
French,asticot,Mango,kôdè
French,asticot,Nar,kèdè
French,attacher,Bebote,t$
French,attacher,Bediondo,d35
French,attacher,Daba,d35
French,attacher,Gor,d35
French,attacher,Gulay,d25
French,attacher,Kaba_Na,ija
French,attacher,Kaba,d5
French,attacher,Laka,t5
French,attacher,Mbay,d35
French,attacher,Mango,d35
French,attacher,Nar,dà0
French,attacher,Ngambay,té
French,attacher,Sar,-d00
French,attacher,Ngam,ida
French,- | attendre,Bebote,ng£ns
French,- | attendre,Bediondo,ng£ns
French,- | attendre,Gor,ngéns
French,- | attendre,Gulay,ngôm
French,- | attendre,Kaba_Na,àkÔ
French,- | attendre,Kaba,ngéb#
French,- | attendre,Laka,ngéb5s
French,- | attendre,Mbay,ng60
French,- | attendre,Mango,ngins
French,- | attendre,Nar,ngôro
French,- | attendre,Ngambay,ng$b#
French,- | attendre,Sar,ng60
French,- | attendre,Ngam,ngého
French,attraper a la volée,Bediondo,1à
French,attraper a la volée,Gulay,là
French,attraper a la volée,Kaba_Na,käka
French,attraper a la volée,Laka,1äm
French,attraper a la volée,Mbay,gäw
French,attraper a la volée,Nar,là
French,attraper a la volée,Ngambay,lâm
French,attraper a la volée,Sar,l4a
French,aubergine,Bebote,nj0
French,aubergine,Bediondo,nj0
French,aubergine,Daba,njôr
French,aubergine,Gor,njor
French,aubergine,Gulay,njor
French,aubergine,Kaba_Na,njoro
French,aubergine,Kaba,dündäéy
French,aubergine,Laka,dündäy
French,aubergine,Mbay,njôr
French,aubergine,Mango,njo
French,aubergine,Nar,njor
French,aubergine,Ngambay,njôr
French,aubergine,Sar,nj0r
French,augmenter en volume,Bebote,si
French,augmenter en volume,Bediondo,s1
French,augmenter en volume,Kaba_Na,àgo
French,augmenter en volume,Mbay,àg#
French,augmenter en volume,Sar,àg#
French,aujourd'hui,Bebote,bé-nè : Ba=b6-nè
